Sentiment,tweet
0,my poor little dumpling in holmdel vids he was really trying hope he dont try to hard tonight xx
0,i m off too bed i gotta wake up hella early tomorrow morning
0,i havent been able to listen to it yet my speakers are busted
0,now remembers why solving a relatively big equation with two unknowns is a total pain in the butt
0,ate too much feel sick
0,tried to purchase a parked domain through godaddy down the drain kind of like gambling
1,on lunch dj should come eat with me
0,just got back from va tech equine medical center my poor lilly has to be on stall rest for at least another month
0,can t log in to my other twitter account super bummed
1,adventure that s what we all need in our life i am glad you had a great week thanks for yr response
1,zach makes me pee sitting down and i m a grown gay man
1,to sum up my day in one word kackered
1,great minds think alike
0,is very tired and doesn t want to clean anymore
1,thanks for the follow how are you nessie
1,thanks guys added a couple of love handle inches after tayyabs
1,i m feeling quite sleepy today wish i could stay in bed today but ok is my last year so let s go to school
0,so sad tough game went into pk s screw you
0,i miss you i wish it was the th already
0,i m leaving in a while
0,oh i ve lost my ipod what a dickhead i am
1,whaddup whaddup whaddup whaddup whaddup i got white girl swag from my head to my shoes whaddup
1,congrats on getting out the hadoop book esp the zookeeper chapter
1,working on photos from hillsong s year celebration stay tuned www hillsong co za
0,i heard that supernatural and click flash didn t make the cut on the final product why ciara why
0,willow seems almost better harper sounds worse off to the drs
1,my favorite word is no
0,dood they ve locked down your vimeo wh video
0,is having information overload getting dizzy
1,you re absolutely right
1,honestly it depends on the woman i love dresses that tend to dip low in the back
0,i feel as though i m letting down the feminist side by being so focused on atp and not nearly as much on wta = sorry
0,im trying to keep awake its painful
0,feeling ill ill ill goodnight
0,the best part about that is when you do use an ie useragent it says to disable compatibility mode in the hints
0,where is the love yall seeing movies without me
0,wish i was there
1,watching tv &quot; fast furious&quot; dang i remember when i loved this damn movie
0,doh planned to do some work in the cafe before a meeting eduroam is not working spent the last ten minutes setting up roamnet
1,hahaha blakk is reckkkin it p throwwwwwed
1,roaming the floor today i will need some company on here it s not busy
1,~ hi sounds like you re feeling a bit better that s great you have a great day
1,here dude we got here n a table readyyy fo us
1,hi carrie how are you this morning xxx
1,on a good note we did meet at marty richards red ball a few years ago you were so sweet to me i ll never forget it
0,why does it always rain when your not heree
1,hahahahahahhahaha i dont think we need to jump anyone she s hot
0,good morning to you no sun here today i am afraid its rainng but got my coffee ;
1,no prob anytime you need some drinking support encouragement i&quot;m here it s my specialty
0,ok i will go back to painting my house
1,there r a few of us local yocals around happy to find u on twitter day
1,just back from supercheap a most successful trip the bikes are tanked &amp; checked for the week so all ready to start relaxing
0,nope i know
1,good work
1,i thought you d be pissed at me because you love cl i totally respect her and that s why i made the reference
0,oklahoma for a couple hours i m seriously missing civilization
1,i ended up helping out radio newsbeat out there it was a massively fun evening i spent with them champions of england
1,while your at it can you make me a thingamy looks a bit like | but bigger and it offer a hole in it
0,finally im backkkkkkk =d and with bad news r i p don to~o
1,happy mother s day to the wondeful mum s in america god bless you all
0,says i so miss justice broom box kada
1,aw cool and the woman who plays morgana in merlin is in it too
1,night in with the rock star
1,don t really have a reason haha sounds stupid i ll be
1,ugh i wish this school year would go faster so i can move on in life
0,can only make what the company has available
0,hope you guys are all going well with your assignments i m trying to cut down to
1,off to whipsnade hope it s dry
0,i was at the park today and i was racing my cousins and i slipped and cut my arm
0,keen for hey monday to make a mess in new zealand if only i &lt; jesus straight up christian
0,ah poor you i hate when that happens
1,fine kinders coughing again so not a lot of sleep weather s good though that s the main thing
1,it s just you and me bro
1,setting up the wireless access layer of my network today mesh lab coming online can t wait to run loads through it and gather data
0,its official my boss and savior is leaving arco arena for future endevors this really sucks
1,mourniiiiiiing eh morniiing
1,in business lesson listen music
1,enjoying the last rays of the weekend sun
0,they have a tapex on campus safe to say they make lots of money
